City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,acarau,-2.8856,-40.12,302.89,71,0,4.45,BR,1714072890
1,georgetown,5.4112,100.3354,300.59,84,100,1.74,MY,1714072677
2,mount gambier,-37.8333,140.7667,285.67,62,100,2.6,AU,1714072690
3,keflavik,64.0049,-22.5624,280.36,80,92,7.39,IS,1714072891
4,wailua homesteads,22.0669,-159.378,295.47,81,52,6.94,US,1714072891
5,tofol,5.3248,163.0078,301.58,82,20,9.61,FM,1714072891
6,adamstown,-25.066,-130.1015,296.55,87,9,7.41,PN,1714072892
7,acajutla,13.5928,-89.8275,304.72,61,2,5.22,SV,1714072892
8,edinburgh of the seven seas,-37.0676,-12.3116,291.51,85,49,14.28,SH,1714072892
9,margaret river,-33.95,115.0667,284.35,69,100,4.43,AU,1714072892
10,puerto ayora,-0.7393,-90.3518,299.63,75,75,4.4,EC,1714072892
11,greymouth,-42.4667,171.2,283.3,70,100,8.71,NZ,1714072893
12,punta arenas,-53.15,-70.9167,280.12,70,100,6.46,CL,1714072893
13,qaqortoq,60.7167,-46.0333,275.79,87,100,0.89,GL,1714072893
14,papatowai,-46.5619,169.4708,279.15,80,15,5.27,NZ,1714072893
15,amga,60.8953,131.9608,259.3,97,85,1.14,RU,1714072894
16,west island,-12.1568,96.8225,300.47,78,66,8.15,CC,1714072894
17,rhinelander,45.6366,-89.4121,286.78,33,1,3.18,US,1714072894
18,ilhabela,-23.7781,-45.3581,296.45,94,83,2.23,BR,1714072894
19,muisne,0.6,-80.0333,301.04,78,80,4.42,EC,1714072895
20,hermanus,-34.4187,19.2345,289.14,89,92,3.51,ZA,1714072895
21,hami,42.8,93.45,286.13,56,56,6.2,CN,1714072895
22,isafjordur,66.0755,-23.124,277.64,57,24,3.75,IS,1714072896
23,tralee,52.2704,-9.7026,280.57,95,100,5.85,IE,1714072896
24,blackmans bay,-43.0167,147.3167,284.34,75,100,2.83,AU,1714072896
25,balatonfured,46.9619,17.8719,280.79,63,98,0.93,HU,1714072896
26,iqaluit,63.7506,-68.5145,262.58,79,15,5.72,CA,1714072897
27,chonchi,-42.6128,-73.8092,284.42,79,100,5.38,CL,1714072897
28,ribeira grande,38.5167,-28.7,288.42,82,99,4.15,PT,1714072897
29,fale old settlement,-9.3852,-171.2468,302.62,75,17,5.86,TK,1714072897
30,fort campbell north,36.6543,-87.4606,291.67,51,100,2.79,US,1714072898
31,benguela,-12.5763,13.4055,300.24,85,14,3.03,AO,1714072898
32,saldanha,-33.0117,17.9442,288.91,84,100,9.82,ZA,1714072898
33,thompson,55.7435,-97.8558,284.23,81,100,4.95,CA,1714072898
34,port mathurin,-19.6833,63.4167,299.99,75,99,9.01,MU,1714072899
35,lata,40.1629,-8.3327,284.41,83,14,3.31,PT,1714072899
36,monrovia,6.3005,-10.7969,301.53,82,100,4.61,LR,1714072735
37,kingston,17.997,-76.7936,307.53,35,49,0.77,JM,1714072899
38,grand island,40.925,-98.342,287.91,85,100,8.04,US,1714072762
39,bondo,3.8146,23.6866,299.09,61,33,1.4,CD,1714072900
40,vorgashor,67.5833,63.95,258.33,98,82,2.31,RU,1714072900
41,kruisfontein,-34.0033,24.7314,289.21,80,100,4.35,ZA,1714072900
42,talnakh,69.4865,88.3972,258.64,92,66,2.34,RU,1714072900
43,whitehorse,60.7161,-135.0538,280.94,66,31,1.71,CA,1714072692
44,nan,18.8333,100.6667,300.9,38,5,0.57,TH,1714072901
45,guacimo,10.2104,-83.6807,303.62,59,80,2.9,CR,1714072901
46,stanley,54.868,-1.6985,276.64,83,55,3.33,GB,1714072901
47,noumea,-22.2763,166.4572,295.3,81,35,0.19,NC,1714072745
48,port-aux-francais,-49.35,70.2167,278.05,72,33,5.4,TF,1714072902
49,la ronge,55.1001,-105.2842,286.27,49,99,3.88,CA,1714072902
50,tiksi,71.6872,128.8694,257.49,93,95,5.32,RU,1714072902
51,atafu village,-8.5421,-172.5159,301.94,77,20,4.56,TK,1714072902
52,waitangi,-43.9535,-176.5597,288.51,87,100,12.54,NZ,1714072903
53,burnie,-41.0667,145.9167,285.22,74,100,2.94,AU,1714072903
54,grytviken,-54.2811,-36.5092,272.22,64,28,2.39,GS,1714072903
55,bredasdorp,-34.5322,20.0403,288.37,93,99,0.82,ZA,1714072903
56,hjorring,57.4642,9.9823,276.96,74,64,4.23,DK,1714072904
57,anadyr,64.75,177.4833,264.86,97,96,1.52,RU,1714072904
58,roma,43.2128,-75.4557,284.0,31,9,3.94,US,1714072904
59,tazovsky,67.4667,78.7,270.31,87,100,2.69,RU,1714072904
60,puerto natales,-51.7236,-72.4875,278.76,76,100,2.62,CL,1714072905
61,geraldton,-28.7667,114.6,292.19,63,1,4.61,AU,1714072905
62,gondal,21.9667,70.8,301.17,47,0,4.95,IN,1714072906
63,sant antoni de portmany,38.9807,1.3036,288.85,68,100,5.15,ES,1714072906
64,mont-laurier,46.5501,-75.4993,280.67,23,52,2.95,CA,1714072906
65,beledweyne,4.7358,45.2036,297.87,92,100,3.71,SO,1714072906
66,sinan,34.8262,126.1086,286.0,81,100,1.31,KR,1714072906
67,yellowknife,62.456,-114.3525,275.23,72,95,6.45,CA,1714072693
68,kingisepp,59.3733,28.6134,278.0,97,100,3.87,RU,1714072907
69,albany,42.6001,-73.9662,284.17,25,0,2.8,US,1714072907
70,dingras,18.1032,120.6967,299.58,77,100,1.59,PH,1714072907
71,dudinka,69.4058,86.1778,254.59,100,99,1.16,RU,1714072908
72,dahlonega,34.5326,-83.9849,298.33,22,16,1.18,US,1714072908
73,sandnessjoen,66.0217,12.6316,278.75,63,4,5.37,NO,1714072908
74,longyearbyen,78.2186,15.6401,267.21,77,0,2.38,SJ,1714072908
75,kununurra,-15.7667,128.7333,299.34,41,56,6.08,AU,1714072909
76,rikaze,29.25,88.8833,279.3,21,1,2.84,CN,1714072909
77,kapa'a,22.0752,-159.319,296.25,80,35,7.94,US,1714072909
78,weno,7.4515,151.8468,301.8,80,25,8.14,FM,1714072909
